gene,value
ADVE02_v2_10263,14.58194265
ADVE02_v2_10264,13.07079952
ADVE02_v2_10265,9.400994817
ADVE02_v2_10266,3.174408092
ADVE02_v2_10267,4.870989565
ADVE02_v2_10268,12.92485313
ADVE02_v2_10269,22.83073742
ADVE02_v2_10270,11.08129969
ADVE02_v2_10271,34.34174925
ADVE02_v2_10272,15.93442828
ADVE02_v2_10273,43.21961579
ADVE02_v2_10274,33.43999622
ADVE02_v2_10275,87.38634699
ADVE02_v2_10276,653.1729629
ADVE02_v2_10277,18.57450469
ADVE02_v2_10278,12.57574879
ADVE02_v2_10279,190.4709654
ADVE02_v2_10280,20.99804386
ADVE02_v2_10281,15.57324652
ADVE02_v2_10282,14.75479703
ADVE02_v2_10283,18.75434184
ADVE02_v2_10284,222.3922325
ADVE02_v2_10285,15.43090225
ADVE02_v2_10286,18.00145607
ADVE02_v2_10287,11.29701223
ADVE02_v2_10288,27.75995928
ADVE02_v2_10289,43.01231926
ADVE02_v2_10290,40.87205521
ADVE02_v2_10291,184.1965188
ADVE02_v2_10292,174.4151519
ADVE02_v2_10293,75.93483126
ADVE02_v2_10294,690.2309107
ADVE02_v2_10295,8.514410386
ADVE02_v2_10296,103.2070277
ADVE02_v2_10297,48.136887
ADVE02_v2_10298,23.76551681
ADVE02_v2_10299,31.00073137
ADVE02_v2_10300,21.35389733
ADVE02_v2_10301,19.21843192
ADVE02_v2_10302,11.65753933
ADVE02_v2_10303,34.40827242
ADVE02_v2_10304,40.22939734
ADVE02_v2_10305,54.01838611
ADVE02_v2_10306,44.57342126
ADVE02_v2_10307,34.73695866
ADVE02_v2_10308,71.95111519
ADVE02_v2_10309,16.34498193
ADVE02_v2_10310,33.89063481
ADVE02_v2_10311,54.03659549
ADVE02_v2_10312,20.62380037
ADVE02_v2_10313,247.0650939
ADVE02_v2_10314,17.25255719
ADVE02_v2_10315,20.15451034
ADVE02_v2_10316,58.44458947
ADVE02_v2_10317,1459.421658
ADVE02_v2_10318,18.38519545
ADVE02_v2_10319,30.83583284
ADVE02_v2_10320,52.29803438
ADVE02_v2_10321,44.58585316
ADVE02_v2_10322,29.82314993
ADVE02_v2_10323,23.09997149
ADVE02_v2_10324,31.11402318
ADVE02_v2_10325,15.41867114
ADVE02_v2_10326,142.6233205
ADVE02_v2_10327,73.32362467
ADVE02_v2_10328,76.50784798
ADVE02_v2_10329,142.4441696
ADVE02_v2_10330,94.10373543
ADVE02_v2_10331,18.86775108
ADVE02_v2_10332,7.900522206
ADVE02_v2_10333,11.58583706
ADVE02_v2_10334,79.740907
ADVE02_v2_10335,259.021699
ADVE02_v2_10336,6.768955255
ADVE02_v2_10337,18.75976078
ADVE02_v2_10338,14.38608172
ADVE02_v2_10339,11.84275938
ADVE02_v2_10340,10.55567715
ADVE02_v2_10341,14.51653876
ADVE02_v2_10342,6.851306467
ADVE02_v2_10343,159.1874269
ADVE02_v2_10344,249.7277829
ADVE02_v2_10345,97.64283159
ADVE02_v2_10346,36.41018485
ADVE02_v2_10347,182.1953867
ADVE02_v2_10348,28.54045702
ADVE02_v2_10349,84.1977803
ADVE02_v2_10350,149.352946
ADVE02_v2_10351,29.11281009
ADVE02_v2_10352,29.41059486
ADVE02_v2_10353,10.38494957
ADVE02_v2_10354,15.38391754
ADVE02_v2_10355,30.40667794
ADVE02_v2_10356,458.4324037
ADVE02_v2_10357,547.9299865
ADVE02_v2_10358,60.95221555
ADVE02_v2_10359,114.503097
ADVE02_v2_10360,139.3576784
ADVE02_v2_10361,131.3580021
ADVE02_v2_10362,73.30094095
ADVE02_v2_10363,79.14768439
ADVE02_v2_10364,149.3461841
ADVE02_v2_10365,106.1230003
ADVE02_v2_10366,155.5778892
ADVE02_v2_10367,24.53639935
ADVE02_v2_10368,13.30466588
ADVE02_v2_10369,32.68829873
ADVE02_v2_10370,46.63263042
ADVE02_v2_10371,132.582567
ADVE02_v2_10372,11.60947241
ADVE02_v2_10373,10.30366182
ADVE02_v2_10374,20.04028448
ADVE02_v2_10375,11.77110103
ADVE02_v2_10376,206.8576668
ADVE02_v2_10377,30.49763124
ADVE02_v2_10378,21.95556289
ADVE02_v2_10379,44.77545748
ADVE02_v2_10380,175.9721412
ADVE02_v2_10381,355.0232801
ADVE02_v2_10382,5.346546581
ADVE02_v2_10383,19.58185416
ADVE02_v2_10384,32.73527843
ADVE02_v2_10385,105.4242772
ADVE02_v2_10386,794.0000788
ADVE02_v2_10387,200.6840796
ADVE02_v2_10388,129.1397368
ADVE02_v2_10389,239.2563686
ADVE02_v2_10390,148.215198
ADVE02_v2_10391,235.5195737
ADVE02_v2_10392,102.355411
ADVE02_v2_10393,795.9275053
ADVE02_v2_10394,3201.545001
ADVE02_v2_10395,94.6222161
ADVE02_v2_10396,928.7637063
ADVE02_v2_10397,378.2139391
ADVE02_v2_10398,666.6628538
ADVE02_v2_10399,1321.943903
ADVE02_v2_10400,1160.325852
ADVE02_v2_10402,7609.009825
ADVE02_v2_10403,9.275316166
ADVE02_v2_10404,44.94512953
ADVE02_v2_10405,11.52412277
ADVE02_v2_10406,13.66453162
ADVE02_v2_10407,15.98883282
ADVE02_v2_10408,17.77581917
ADVE02_v2_10409,17.16476605
ADVE02_v2_10410,17.42467853
ADVE02_v2_10411,7.65555907
ADVE02_v2_10412,16.15852164
ADVE02_v2_10413,9.239732659
ADVE02_v2_10414,14.36218811
