gene,value
ADVE02_v2_10299,52.67998332
ADVE02_v2_10300,34.32638497
ADVE02_v2_10301,29.32073525
ADVE02_v2_10302,23.59328769
ADVE02_v2_10303,29.15539711
ADVE02_v2_10304,28.31595108
ADVE02_v2_10305,59.0482713
ADVE02_v2_10306,62.02104137
ADVE02_v2_10307,53.45619431
ADVE02_v2_10308,102.3335108
ADVE02_v2_10309,22.26048849
ADVE02_v2_10310,51.52808694
ADVE02_v2_10311,71.7250508
ADVE02_v2_10312,23.05870032
ADVE02_v2_10313,279.6545954
ADVE02_v2_10314,32.77448034
ADVE02_v2_10315,34.51754765
ADVE02_v2_10316,77.2552118
ADVE02_v2_10317,1648.314409
ADVE02_v2_10318,30.1739081
ADVE02_v2_10319,50.76052005
ADVE02_v2_10320,79.8009059
ADVE02_v2_10321,70.4341996
ADVE02_v2_10322,31.85339054
ADVE02_v2_10323,25.5198432
ADVE02_v2_10324,46.27011391
ADVE02_v2_10325,19.05199174
ADVE02_v2_10326,196.5340784
ADVE02_v2_10327,85.07941467
ADVE02_v2_10328,95.62630043
ADVE02_v2_10329,152.8435192
ADVE02_v2_10330,49.74293585
ADVE02_v2_10331,14.4141112
ADVE02_v2_10332,7.356376739
ADVE02_v2_10333,14.22403365
ADVE02_v2_10334,137.4046888
ADVE02_v2_10335,550.388505
ADVE02_v2_10336,12.53984635
ADVE02_v2_10337,33.83067433
ADVE02_v2_10338,22.27373435
ADVE02_v2_10339,20.35046748
ADVE02_v2_10340,23.11961346
ADVE02_v2_10341,19.88682474
ADVE02_v2_10342,18.74542051
ADVE02_v2_10343,461.0368816
ADVE02_v2_10344,672.7008806
ADVE02_v2_10345,197.0967937
ADVE02_v2_10346,28.76930306
ADVE02_v2_10347,159.6145206
ADVE02_v2_10348,47.5821
ADVE02_v2_10349,124.4196535
ADVE02_v2_10350,308.3335983
ADVE02_v2_10351,81.22556276
ADVE02_v2_10352,31.7757236
ADVE02_v2_10353,17.72066493
ADVE02_v2_10354,20.85031438
ADVE02_v2_10355,48.19602861
ADVE02_v2_10356,1163.348596
ADVE02_v2_10357,1510.196003
ADVE02_v2_10358,104.8977877
ADVE02_v2_10359,96.95673258
ADVE02_v2_10360,143.7067572
ADVE02_v2_10361,173.0129125
ADVE02_v2_10362,95.69915431
ADVE02_v2_10363,105.3931395
ADVE02_v2_10364,180.2193483
ADVE02_v2_10365,146.8187895
ADVE02_v2_10366,212.2206953
ADVE02_v2_10367,40.2347987
ADVE02_v2_10368,19.6588678
ADVE02_v2_10369,38.94378242
ADVE02_v2_10370,134.0092978
ADVE02_v2_10371,606.4391704
ADVE02_v2_10372,20.54233244
ADVE02_v2_10373,10.82809207
ADVE02_v2_10374,25.35581593
ADVE02_v2_10375,18.33505681
ADVE02_v2_10376,185.1340324
ADVE02_v2_10377,49.80469665
ADVE02_v2_10378,35.10386149
ADVE02_v2_10379,57.04237098
ADVE02_v2_10380,199.4303111
ADVE02_v2_10381,377.9856661
ADVE02_v2_10382,23.84200947
ADVE02_v2_10383,34.08670718
ADVE02_v2_10384,58.93849249
ADVE02_v2_10385,95.54977019
ADVE02_v2_10386,576.7517154
ADVE02_v2_10387,440.6184465
ADVE02_v2_10388,131.4888212
ADVE02_v2_10389,211.8073596
ADVE02_v2_10390,158.5617764
ADVE02_v2_10391,285.9175363
ADVE02_v2_10392,62.99585716
ADVE02_v2_10393,615.004586
ADVE02_v2_10394,2777.22351
ADVE02_v2_10395,284.5081446
ADVE02_v2_10396,1540.97031
ADVE02_v2_10397,601.3257099
ADVE02_v2_10398,701.524389
ADVE02_v2_10399,8474.072787
ADVE02_v2_10400,9002.186694
ADVE02_v2_10402,24948.81938
ADVE02_v2_10403,15.74282002
ADVE02_v2_10404,401.8528887
ADVE02_v2_10405,22.24172785
ADVE02_v2_10406,20.99896262
ADVE02_v2_10407,32.77446225
ADVE02_v2_10408,27.93701844
ADVE02_v2_10409,27.47293211
ADVE02_v2_10410,17.55416199
ADVE02_v2_10411,15.53489197
ADVE02_v2_10412,57.53524421
ADVE02_v2_10413,10.31751022
ADVE02_v2_10414,27.0914243
ADVE02_v2_10415,77.99428823
ADVE02_v2_10416,52.26517412
ADVE02_v2_10417,94.45130375
ADVE02_v2_10418,140.5902954
ADVE02_v2_10419,52.69748419
ADVE02_v2_10420,253.4428312
ADVE02_v2_10421,872.455412
ADVE02_v2_10422,0.593842938
ADVE02_v2_10423,2.68310455
ADVE02_v2_10424,111.3988486
ADVE02_v2_10425,55.09856718
ADVE02_v2_10426,77.22024395
ADVE02_v2_10427,204.3843629
ADVE02_v2_10428,99.63411076
ADVE02_v2_10429,181.2785104
ADVE02_v2_10430,28.4040275
ADVE02_v2_10431,20.05459235
ADVE02_v2_10432,74.44267367
ADVE02_v2_10433,41.39665288
ADVE02_v2_10434,3380.743877
ADVE02_v2_10435,159.8775715
ADVE02_v2_10436,32.67818645
ADVE02_v2_10437,129.2682867
ADVE02_v2_10438,51.90787546
ADVE02_v2_10439,28.3892504
ADVE02_v2_10440,54.76342547
ADVE02_v2_10441,13.23634259
ADVE02_v2_10442,23.64455461
ADVE02_v2_10443,110.6400226
ADVE02_v2_10444,36.36929748
ADVE02_v2_10445,55.9336396
ADVE02_v2_10446,97.22828251
ADVE02_v2_10447,95.24058109
ADVE02_v2_10448,48.77399426
ADVE02_v2_10449,11.96785799
