gene,value
ADVE02_v2_10502,169.9248905
ADVE02_v2_10503,102.2258136
ADVE02_v2_10504,14.09877168
ADVE02_v2_10505,47.4067246
ADVE02_v2_10506,52.973849
ADVE02_v2_10507,29.72617499
ADVE02_v2_10508,23.0867302
ADVE02_v2_10509,30.1732556
ADVE02_v2_10510,19.53854956
ADVE02_v2_10511,17.94812083
ADVE02_v2_10512,12.0158155
ADVE02_v2_10513,25.04081877
ADVE02_v2_10514,13.75159152
ADVE02_v2_10515,39.09511232
ADVE02_v2_10516,114.505485
ADVE02_v2_10517,62.06993396
ADVE02_v2_10518,163.2385855
ADVE02_v2_10519,7.477985284
ADVE02_v2_10520,32.85864643
ADVE02_v2_10521,25.6962319
ADVE02_v2_10522,13.78626937
ADVE02_v2_10523,115.7448298
ADVE02_v2_10524,147.2659707
ADVE02_v2_10525,12.83077323
ADVE02_v2_10526,4.452316374
ADVE02_v2_10527,82.70236981
ADVE02_v2_10528,34.9388636
ADVE02_v2_10529,6.669423719
ADVE02_v2_10530,23.57557083
ADVE02_v2_10531,58.43404113
ADVE02_v2_10532,26.44252806
ADVE02_v2_10533,18.02790862
ADVE02_v2_10534,26.18890653
ADVE02_v2_10535,11.07111367
ADVE02_v2_10536,32.62786403
ADVE02_v2_10537,40.41483243
ADVE02_v2_10538,19.45002714
ADVE02_v2_10539,15.76450026
ADVE02_v2_10540,40.03686352
ADVE02_v2_10541,62.64099098
ADVE02_v2_10542,50.28648793
ADVE02_v2_10543,50.72079243
ADVE02_v2_10544,64.26696287
ADVE02_v2_10545,82.40131226
ADVE02_v2_10546,235.5395863
ADVE02_v2_10547,300.6926615
ADVE02_v2_10548,28.95390634
ADVE02_v2_10549,30.6081137
ADVE02_v2_10550,31.49345432
ADVE02_v2_10551,24.70897593
ADVE02_v2_10552,6.159177003
ADVE02_v2_10553,27.26319551
ADVE02_v2_10554,67.17000951
ADVE02_v2_10555,38.87201899
ADVE02_v2_10556,54.97535847
ADVE02_v2_10557,178.9714806
ADVE02_v2_10558,133.7151994
ADVE02_v2_10559,16.07236919
ADVE02_v2_10560,7.949166684
ADVE02_v2_10561,38.5760639
ADVE02_v2_10562,128.0509829
